Date,Close,Open,High,Low,Volume,Change
2019-08-16,1927.17,1921.49,1927.7,1911.72,421680000.0,-0.0058
2019-08-19,1939.9,1936.64,1943.09,1931.44,481020000.0,0.0066
2019-08-20,1960.25,1942.99,1964.16,1937.53,463600000.0,0.0105
2019-08-21,1964.65,1954.57,1971.12,1954.47,391570000.0,0.0022
2019-08-22,1951.01,1966.6,1967.96,1951.01,435560000.0,-0.0069
2019-08-23,1948.3,1942.42,1953.85,1940.6,381090000.0,-0.0014000000000000002
2019-08-26,1916.31,1915.34,1924.49,1909.92,324850000.0,-0.016399999999999998
2019-08-27,1924.6,1928.98,1937.42,1919.28,427040000.0,0.0043
2019-08-28,1941.09,1929.96,1943.62,1926.43,284340000.0,0.0086
2019-08-29,1933.41,1943.55,1947.15,1928.49,285100000.0,-0.004
2019-08-30,1967.79,1951.66,1971.21,1951.3,317730000.0,0.0178
2019-09-02,1969.19,1961.19,1973.25,1958.59,262149999.99999997,0.0007000000000000001
2019-09-03,1965.69,1966.5,1976.37,1960.15,342080000.0,-0.0018
2019-09-04,1988.53,1962.43,1988.53,1962.08,348720000.0,0.0116
2019-09-05,2004.75,1993.62,2015.39,1992.51,488070000.0,0.008199999999999999
2019-09-06,2009.13,2016.11,2017.2,2005.69,384440000.0,0.0022
2019-09-09,2019.55,2013.38,2029.8,2013.28,511820000.0,0.0052
2019-09-10,2032.08,2024.79,2034.28,2021.58,504390000.0,0.0062
2019-09-11,2049.2,2043.72,2050.8,2040.04,429080000.0,0.0084
2019-09-16,2062.22,2056.26,2062.22,2044.8,493520000.0,0.0064
2019-09-17,2062.33,2058.72,2066.33,2055.17,508000000.0,0.0001
2019-09-18,2070.73,2064.42,2075.63,2058.52,613150000.0,0.0040999999999999995
2019-09-19,2080.35,2070.53,2089.81,2070.53,493040000.0,0.0046
2019-09-20,2091.52,2080.86,2092.37,2077.3,589920000.0,0.0054
2019-09-23,2091.7,2087.7,2095.54,2085.6,420950000.0,0.0001
2019-09-24,2101.04,2090.19,2101.63,2085.91,535770000.0,0.0045000000000000005
2019-09-25,2073.39,2093.47,2095.27,2072.41,651550000.0,-0.0132
2019-09-26,2074.52,2082.66,2087.33,2064.34,430580000.0,0.0005
2019-09-27,2049.93,2066.96,2066.96,2044.75,285940000.0,-0.011899999999999999
2019-09-30,2063.05,2045.77,2064.99,2042.01,327620000.0,0.0064
2019-10-01,2072.42,2062.44,2077.48,2057.91,389340000.0,0.0045000000000000005
2019-10-02,2031.91,2058.23,2058.23,2031.91,414460000.0,-0.0195
2019-10-04,2020.69,2028.4,2039.43,2020.69,402940000.0,-0.0055000000000000005
2019-10-07,2021.73,2031.53,2034.94,2016.19,322180000.0,0.0005
2019-10-08,2046.25,2029.37,2046.81,2024.63,437520000.0,0.0121
2019-10-10,2028.15,2030.13,2040.88,2010.9,445850000.0,-0.0088
2019-10-11,2044.61,2048.08,2053.94,2040.48,381150000.0,0.008100000000000001
2019-10-14,2067.4,2068.13,2075.1,2065.53,511220000.0,0.0111
2019-10-15,2068.17,2064.78,2073.21,2064.34,464530000.0,0.0004
